sector_name,company_name,industry,last_price,change,%chg,mkt_cap(rs_cr)
Automotive,Autoline Ind,Auto Ancillaries,75.10,6.80,9.96,285
Automotive,Rico Auto,Auto Ancillaries,37.10,3.00,8.80,502
Automotive,UCAL Fuel,Auto Ancillaries,132.55,7.00,5.58,293
Automotive,Motherson SWI,Auto Ancillaries,73.05,3.75,5.41,"23,069"
Automotive,JBM Auto,Auto Ancillaries,551.25,26.25,5.00,"6,518"
Automotive,Auto Stampings,Auto Ancillaries,605.30,28.80,5.00,960
Automotive,Shriram Pistons,Auto Ancillaries,749.90,24.90,3.43,"1,652"
Automotive,Lumax Auto Tech,Auto Ancillaries,183.10,5.75,3.24,"1,248"
Automotive,Hind Motors,Auto - Cars & Jeeps,12.55,0.30,2.45,262
Automotive,Shigan Quantum,Auto Ancillaries,126.90,2.50,2.01,218
Automotive,Hind Composites,Auto Ancillaries,317.55,6.15,1.97,469
Automotive,Talbros Auto,Auto Ancillaries,516.65,9.40,1.85,638
Automotive,CarTrade Tech,Automobile - Dealers & Distributors,623.00,8.80,1.43,"2,905"
Automotive,Rane Holdings,Auto Ancillaries,650.50,9.15,1.43,929
Automotive,Steel Str Wheel,Auto Ancillaries,879.30,10.40,1.20,"2,745"
Automotive,HMT,Auto - Tractors,28.00,0.30,1.08,"3,371"
Automotive,Pricol,Auto Ancillaries,143.50,1.50,1.06,"1,749"
Automotive,Sundaram-Clayto,Auto Ancillaries,3685.95,38.50,1.06,"7,457"
Automotive,Sundaram Brake,Auto Ancillaries,374.10,3.25,0.88,147
Automotive,Mah Scooters,Auto - 2 & 3 Wheelers,3860.25,33.15,0.87,"4,412"
Automotive,Banco Products,Auto Ancillaries,143.90,1.10,0.77,"1,029"
Automotive,Sharda Motor,Auto Ancillaries,750.20,5.70,0.77,"2,230"
Automotive,FIEM Ind,Auto Ancillaries,964.50,6.05,0.63,"1,269"
Automotive,Shivam Auto,Auto Ancillaries,32.40,0.20,0.62,396
