"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE ","52W H 
","52W L 
","365 D % CHNG 
 01-Jan-2021","30 D % CHNG 
 02-Dec-2021"
"NIFTY TOTAL MARKET","8,717.20","8,766.75","8,690.40","8,746.25","8,753.40","7.15","0.08",2093047538,"539,877,386,134.92","8,833.95","6,252.10","-","-"
"GMDCLTD","92.30","111.75","91.55","93.15","111.75","18.60","19.97",34951978,"3,601,451,813.12","111.75","51.80","78.04","46.76"
"TRITURBINE","178.10","204.55","178.10","178.75","202.00","23.25","13.01",5227208,"1,031,694,042.96","229.10","82.75","118.61","11.05"
"JINDWORLD","264.20","297.95","264.20","264.20","293.90","29.70","11.24",765187,"219,930,047.54","297.95","44.00","411.14","29.76"
"COSMOFILMS","1,575.00","1,729.00","1,556.35","1,568.70","1,729.00","160.30","10.22",334702,"561,452,563.94","1,729.00","430.95","291.35","21.45"
"DOLLAR","586.00","633.10","579.65","575.55","630.00","54.45","9.46",984439,"615,038,109.64","633.10","206.00","168.15","37.28"
"FILATEX","127.30","138.00","127.00","126.10","136.60","10.50","8.33",3448051,"462,590,522.16","138.00","55.20","114.76","42.72"
"GIPCL","85.20","93.90","85.00","85.10","91.80","6.70","7.87",2477386,"225,293,482.84","105.70","72.05","12.95","12.89"
"JAMNAAUTO","112.00","122.60","110.55","112.05","120.80","8.75","7.81",8015002,"958,113,339.08","122.60","58.45","87.55","12.55"
"BDL","411.95","444.85","410.70","411.95","442.50","30.55","7.42",568771,"245,157,364.13","455.00","321.10","26.77","8.85"
"HFCL","84.95","93.45","84.55","85.35","91.55","6.20","7.26",73660895,"6,702,404,836.05","95.70","23.00","187.93","15.46"
"JUBLINGREA","594.60","645.00","592.00","594.65","635.90","41.25","6.94",2188203,"1,376,335,922.94","838.75","241.30","-","12.74"
"ORISSAMINE","2,684.00","3,004.90","2,684.00","2,694.60","2,874.90","180.30","6.69",102191,"297,484,132.46","3,802.00","2,200.00","16.08","20.34"
"GET&D","130.80","140.45","130.40","130.70","139.40","8.70","6.66",545389,"74,734,654.67","153.80","106.00","11.56","12.33"
"DEEPAKFERT","514.10","554.00","506.10","509.05","541.95","32.90","6.46",2568647,"1,379,235,006.65","554.00","147.55","233.38","42.68"
"EIDPARRY","487.30","521.20","486.50","488.95","519.45","30.50","6.24",1170527,"595,025,695.18","532.90","302.50","48.92","9.18"
"ROSSARI","1,270.00","1,375.00","1,262.00","1,265.15","1,340.00","74.85","5.92",670653,"901,753,317.27","1,619.00","818.05","59.90","0.88"
"BEL","209.10","222.10","208.40","209.55","221.50","11.95","5.70",9154550,"1,982,509,348.00","228.00","115.85","64.93","6.23"
"HNDFDS","2,185.00","2,349.70","2,156.30","2,187.50","2,312.10","124.60","5.70",58756,"133,948,991.00","2,578.00","1,417.00","55.47","17.27"
"HGINFRA","583.50","636.05","582.40","583.50","616.60","33.10","5.67",276421,"170,092,898.14","830.00","206.55","170.53","0.87"
"AEGISCHEM","215.80","228.25","214.80","214.80","226.70","11.90","5.54",2070541,"461,772,053.82","387.90","191.75","-17.75","4.08"
"BIRLACORPN","1,524.10","1,608.80","1,509.05","1,524.10","1,602.00","77.90","5.11",339602,"533,327,960.90","1,650.00","701.10","120.16","12.02"
"WELENT","99.00","105.50","97.90","96.75","101.60","4.85","5.01",1845974,"188,049,371.38","135.00","74.75","24.65","4.19"
"TANLA","2,000.00","2,065.95","1,972.30","1,967.60","2,065.95","98.35","5.00",633152,"1,303,153,446.40","2,065.95","660.00","174.93","9.74"
"PRAJIND","388.80","401.95","385.65","382.85","401.95","19.10","4.99",3659436,"1,458,285,246.00","407.00","110.00","220.07","-"
"ANANTRAJ","76.75","81.70","76.75","77.85","81.70","3.85","4.95",2038012,"164,059,966.00","81.70","29.60","136.13","11.61"
"TRIDENT","63.50","64.80","63.50","61.75","64.80","3.05","4.94",11430176,"736,560,541.44","64.80","12.70","340.82","12.99"
"RPOWER","14.25","14.95","14.00","14.25","14.95","0.70","4.91",18615828,"273,652,671.60","18.25","3.05","-","-"
"RAYMOND","645.00","690.90","637.00","643.40","675.00","31.60","4.91",1498179,"1,008,214,539.84","708.40","298.90","100.31","1.96"
"ARVINDFASN","298.00","318.00","294.05","298.35","313.00","14.65","4.91",449592,"138,636,189.12","364.40","123.00","93.87","7.83"
"RBLBANK","146.10","157.70","145.45","148.45","155.60","7.15","4.82",39972648,"6,151,390,800.72","268.80","123.80","-38.36","-16.40"
"JTEKTINDIA","93.30","101.70","93.30","93.20","97.60","4.40","4.72",1377481,"135,984,924.32","132.90","70.05","5.18","5.23"
"SUZLON","11.50","12.20","11.25","11.65","12.20","0.55","4.72",138039334,"1,660,613,188.02","12.25","4.40","-","73.05"
"CREDITACC","570.00","596.00","562.45","569.10","595.90","26.80","4.71",412104,"235,620,462.00","808.40","494.70","-21.31","-8.14"
"HUHTAMAKI","211.30","227.00","211.30","214.90","225.00","10.10","4.70",122527,"27,045,384.71","352.15","206.00","-27.35","4.24"
"RTNPOWER","7.40","8.05","7.35","7.70","8.05","0.35","4.55",28942288,"224,592,154.88","9.70","2.40","-","-"
"ALOKINDS","28.60","30.90","28.40","28.75","30.05","1.30","4.52",40716393,"1,221,491,790.00","32.30","18.70","28.14","19.72"
"SWSOLAR","391.50","419.40","388.85","391.90","409.50","17.60","4.49",4249713,"1,742,424,827.13","509.10","183.50","56.21","5.19"
"CAMLINFINE","160.80","168.70","160.15","160.80","168.00","7.20","4.48",712608,"118,364,188.80","230.80","100.40","45.54","17.57"
"ARVIND","135.00","143.00","134.05","135.50","141.50","6.00","4.43",3389628,"475,835,978.64","146.90","48.35","167.83","20.81"
"FACT","135.90","143.00","134.60","134.85","140.80","5.95","4.41",1155187,"161,379,623.90","153.00","73.10","68.62","19.44"
"JINDALPOLY","1,068.05","1,142.70","1,064.25","1,068.05","1,115.00","46.95","4.40",281058,"311,867,577.96","1,238.00","411.05","144.53","-4.02"
"GRANULES","342.00","362.40","341.20","342.40","357.35","14.95","4.37",7651568,"2,704,293,678.24","404.80","280.50","0.44","5.85"
"TIDEWATER","1,506.40","1,599.00","1,494.00","1,494.30","1,559.00","64.70","4.33",76451,"119,106,070.94","3,688.74","850.00","-64.80","5.04"
"PRINCEPIPE","710.00","743.80","710.00","700.40","730.65","30.25","4.32",1070128,"783,226,683.20","897.00","282.30","152.71","1.41"
"IRCTC","863.90","908.00","856.70","868.15","905.00","36.85","4.24",14072932,"12,622,575,628.08","1,279.26","283.41","-37.36","5.93"
"TATACONSUM","730.20","777.00","727.00","730.20","760.80","30.60","4.19",8733345,"6,651,490,218.90","889.00","554.25","26.58","3.01"
"TATAINVEST","1,478.00","1,546.00","1,463.05","1,469.65","1,531.00","61.35","4.17",195404,"297,027,758.28","1,733.90","980.00","41.64","7.87"
"HLEGLAS","6,339.95","6,600.00","6,299.75","6,317.10","6,575.10","258.00","4.08",21275,"138,070,707.75","7,550.00","1,755.00","-","12.39"
"NAZARA","2,390.00","2,495.00","2,377.00","2,381.35","2,477.65","96.30","4.04",95502,"235,113,508.74","3,356.00","1,432.00","-","-"
"ASAHIINDIA","556.00","579.80","550.10","556.25","578.00","21.75","3.91",268628,"152,940,665.52","586.00","256.05","114.80","14.77"
"DHAMPURSUG","356.00","373.45","355.70","352.40","366.00","13.60","3.86",2195634,"805,314,638.52","395.00","155.95","114.24","18.87"
"LAXMIMACH","9,719.00","10,439.95","9,600.00","9,690.65","10,062.00","371.35","3.83",64038,"650,810,509.44","10,439.95","4,910.30","94.45","10.94"
"CHAMBLFERT","449.90","470.00","448.05","451.50","468.55","17.05","3.78",4397937,"2,030,439,554.16","470.00","200.35","104.31","16.11"
"ELECTCAST","37.40","39.20","37.10","37.25","38.65","1.40","3.76",2685284,"103,759,373.76","44.30","20.85","71.56","9.82"
"RKFORGE","994.90","1,045.00","988.50","996.05","1,033.05","37.00","3.71",209679,"214,218,550.35","1,260.00","480.95","74.89","12.36"
"KIRLOSBROS","374.00","387.95","370.00","374.10","387.95","13.85","3.70",31514,"12,016,288.20","499.20","130.95","175.58","6.60"
"SOLARA","1,100.00","1,149.00","1,097.10","1,092.95","1,133.30","40.35","3.69",435755,"495,056,897.95","1,859.95","980.00","-7.42","6.74"
"REDINGTON","167.65","178.80","165.45","167.70","173.85","6.15","3.67",15743888,"2,733,926,151.20","179.00","65.75","25.41","16.99"
"HAL","1,319.85","1,372.00","1,311.95","1,319.75","1,368.00","48.25","3.66",880246,"1,185,057,584.88","1,566.00","900.05","41.21","6.62"
"ISGEC","661.65","695.00","654.90","661.20","685.00","23.80","3.60",201032,"137,568,207.92","878.35","524.15","-","19.60"
"RELINFRA","98.70","104.00","97.40","99.05","102.50","3.45","3.48",3291223,"336,231,341.68","114.90","27.20","226.71","-"
"INDIACEM","242.80","259.95","242.00","245.15","253.50","8.35","3.41",15432651,"3,938,412,535.20","259.95","153.70","54.68","33.73"
"SANGHIIND","61.35","64.50","61.20","61.35","63.40","2.05","3.34",613547,"38,831,389.63","84.90","34.50","62.55","8.60"
"POONAWALLA","286.50","296.85","284.50","282.75","292.15","9.40","3.32",7682642,"2,249,170,271.92","302.90","41.10","-","40.83"
"IRFC","23.00","23.75","22.90","23.00","23.75","0.75","3.26",16831189,"394,859,693.94","26.70","20.80","-","2.82"
"CARERATING","623.00","654.85","617.20","620.95","640.95","20.00","3.22",122366,"78,383,988.62","791.00","407.20","26.14","4.47"
"OBEROIRLTY","944.00","981.80","935.10","945.65","975.95","30.30","3.20",1247444,"1,207,201,456.56","1,051.90","510.00","74.04","12.63"
"MAHABANK","20.25","21.00","20.15","20.30","20.95","0.65","3.20",6277517,"130,321,252.92","32.00","13.50","43.64","5.03"
"NEULANDLAB","1,640.00","1,745.00","1,618.00","1,637.80","1,690.00","52.20","3.19",48696,"83,064,175.92","2,844.40","1,202.35","38.43","6.26"
