month-year,net sales/income from operations,other operating income,total income from operations,consumption of raw materials,purchase of traded goods,increase/decrease in stocks,power fuel,employees cost,depreciation,excise duty,admin. and selling expenses,r d expenses,provisions and contingencies,exp. capitalised,other expenses,p/l before other inc. int.excpt. items tax,other income,p/l before int.excpt. items tax,interest,p/l before exceptional items tax,exceptional items,p/l before tax,tax,p/l after tax from ordinary activities,prior year adjustments,extra ordinary items,net profit/(loss) for the period,equity share capital,reserves excluding revaluation reserves,equity dividend rate (%),basic eps,diluted eps,basic eps.,diluted eps.,no of shares (crores),share holding (%),- number of shares (crores),- per. of shares (as a % of the total sh. of prom. and promoter group),- per. of shares (as a % of the total share cap. of the company),- number of shares (crores).,- per. of shares (as a % of the total sh. of prom. and promoter group).,- per. of shares (as a % of the total share cap. of the company).,stock_name
Mar '21,"2,420.36",--,"2,420.36",938.21,535.35,20.87,--,336.77,59.68,--,--,--,--,--,351.49,178.01,26.87,204.87,2.43,202.44,--,202.44,53.14,149.30,--,--,149.30,11.27,"2,210.24",--,132.53,132.53,132.53,132.53,--,--,--,--,--,--,--,--,3M INDIA
Mar '20,"2,764.88",--,"2,764.88","1,028.57",591.57,-8.22,--,297.82,57.38,--,--,--,--,--,515.33,282.43,41.58,324.01,3.61,320.40,--,320.40,101.43,218.97,--,--,218.97,11.27,"2,063.50",--,194.38,194.38,194.38,194.38,--,--,--,--,--,--,--,--,3M INDIA
Mar '19,"2,808.76",--,"2,808.76",867.41,633.15,-13.88,--,301.06,41.88,--,--,--,--,--,516.68,462.45,36.10,498.55,1.09,497.46,--,497.46,174.47,322.99,--,--,322.99,11.27,"1,848.27",--,286.72,286.72,286.72,286.72,--,--,--,--,--,--,--,--,3M INDIA
Mar '18,"2,556.14",--,"2,556.14",811.63,539.71,-19.99,--,324.08,41.80,--,--,--,--,--,420.90,438.01,43.62,481.62,1.94,479.68,--,479.68,169.15,310.54,--,--,310.54,11.27,"1,525.40",--,275.66,275.66,275.66,275.66,--,--,--,--,--,--,--,--,3M INDIA
Mar '17,"2,362.98",--,"2,362.98",681.20,645.43,-8.72,--,280.03,46.75,--,--,--,--,--,396.26,322.03,49.47,371.49,2.27,369.22,--,369.22,128.46,240.76,--,--,240.76,11.27,"1,215.13",--,213.72,213.72,213.72,213.72,--,--,--,--,--,--,--,--,3M INDIA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3M INDIA
Mar '21,"1,914.89",--,"1,914.89","1,127.79",43.17,-9.08,--,69.29,47.60,--,--,--,--,--,282.44,353.68,6.42,360.10,22.61,337.49,0.22,337.71,80.00,257.71,--,--,257.71,93.20,766.41,25.00,27.65,27.65,27.65,27.65,--,--,--,--,--,--,--,--,AARTI DRUGS
Mar '20,"1,634.92",--,"1,634.92","1,078.80",40.53,-53.94,--,60.10,46.67,--,--,--,--,--,265.03,197.73,1.06,198.79,32.20,166.59,8.38,174.97,39.30,135.67,--,--,135.67,23.30,598.49,20.00,58.12,58.12,58.12,58.12,--,--,--,--,--,--,--,--,AARTI DRUGS
Mar '19,"1,454.25",--,"1,454.25",930.14,32.62,19.05,--,53.14,40.39,--,--,--,--,--,220.01,158.90,6.28,165.18,37.56,127.62,--,127.62,40.36,87.26,--,--,87.26,23.58,494.99,10.00,37.42,37.42,37.42,37.42,--,--,--,--,--,--,--,--,AARTI DRUGS
Mar '18,"1,140.46",--,"1,140.46",745.65,25.97,-55.60,--,50.49,37.80,--,--,--,--,--,192.10,144.05,1.17,145.22,33.01,112.21,--,112.21,38.80,73.41,--,--,73.41,23.58,409.59,10.00,30.67,30.67,30.67,30.67,--,--,--,--,--,--,--,--,AARTI DRUGS
